id,name,platforms,original_price(£),discounted_price(£),discount(%),product_type,publisher,rel_date,developer,genre
414,Chess,['PS4'],7.39,1.84,-75,FULL_GAME,Sabec,2020-07-30,Sabec,Card & Board
530,Spencer,['PS4'],5.79,2.31,-60,FULL_GAME,EntwicklerX,2021-04-09,EntwicklerX,Platformer
1,Table Tennis,['PS4'],7.99,1.99,-75,FULL_GAME,Sabec,2020-08-27,Sabec,"Sports, Table Tennis"
2,Rainswept,['PS4'],7.99,4.39,-45,FULL_GAME,2Awesome Studio,2020-07-21,Frostwood Interactive,Adventure
3,Hidden Through Time,['PS4'],6.49,3.24,-50,FULL_GAME,Rogueside,2020-03-12,Rogueside,Puzzle
4,The Warriors,['PS4'],11.99,7.19,-40,FULL_GAME,Rockstar Games,2016-07-05,Rockstar Toronto,"Action-Adventure, Beat 'em up"
5,Sniper Elite VR,['PS4'],24.99,12.49,-50,FULL_GAME,Rebellion,2021-07-08,Rebellion,First Person Shooter
6,Faraday Protocol,['PS4'],19.99,7.99,-60,FULL_GAME,Deck13 Interactive,2021-08-12,Red Koi Box,Adventure
7,Rusty Spout Rescue Adventure,['PS4'],5.79,3.47,-40,FULL_GAME,7 Raven Studios,2020-11-27,7 Raven Studios,Puzzle
8,Deadlight: Director's Cut,['PS4'],12.99,2.59,-80,FULL_GAME,Deep Silver,2016-06-21,Tequila Works,Platformer
9,Bomber Crew,['PS4'],15.99,3.19,-80,FULL_GAME,Curve Games,2018-07-10,Runner Duck Games,"Simulation, Management"
10,Blind Men,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2020-04-14,Man-Eater Games,Visual Novel
11,Alien Shooter,['PS4'],6.49,2.59,-60,FULL_GAME,8Floor,2016-03-08,Sigma Team,Shoot 'em up
12,KUUKIYOMI 3: Consider It More and More!! - Father to Son,['PS4'],3.69,1.84,-50,FULL_GAME,G-MODE,2021-09-03,G-MODE,Simulation
13,Timberman VS,['PS4'],1.69,0.16,-90,FULL_GAME,Forever Entertainment,2020-09-04,Digital Melody,Party
14,Bus Driver Simulator,['PS4'],15.99,4.79,-70,FULL_GAME,United Independent Entertainment,2020-11-03,Cypronia,Simulation
15,Ironcast,['PS4'],9.99,1.99,-80,FULL_GAME,Ripstone,2016-03-02,Dreadbit,Puzzle
16,NeonHAT,['PS4'],11.99,5.75,-52,FULL_GAME,Gammera Nest,2021-08-04,Entalto Studios,Arcade Racing
17,Hex Tunnel Touch,['PS4'],3.99,0.79,-80,FULL_GAME,Owlgorithm,2018-05-01,Owlgorithm,Action
18,Murder House,['PS4'],9.49,7.11,-25,FULL_GAME,Puppet Combo,2021-10-14,Puppet Combo,Adventure
19,PAW Patrol The Movie: Adventure City Calls,['PS4'],34.99,20.99,-40,FULL_GAME,Outright Games,2021-08-13,Drakhar Studio,Action-Adventure
20,FORM,['PS4'],11.99,5.99,-50,FULL_GAME,Charm Games,2020-04-07,Charm Games,Puzzle
21,Gearshifters,['PS4'],19.99,9.99,-50,FULL_GAME,"Numskull Games, Toybox",2021-09-30,Red Phantom Games,"Automobile, Arcade Racing, Vehicular Combat"
23,Flowers Are Dead,['PS4'],18.99,15.19,-20,FULL_GAME,Sony Interactive Entertainment,2019-09-05,HALCYON Palace,Adventure
24,Dick Wilde 2,['PS4'],15.99,3.19,-80,FULL_GAME,PlayStack,2019-02-19,Bolvërk Games,"First Person Shooter, On Rails"
25,Beholder 2,['PS4'],11.99,2.39,-80,FULL_GAME,Curve Games,2019-10-22,Warm Lamp Games,"Simulation, Management"
26,KURSK,['PS4'],15.99,1.59,-90,FULL_GAME,Forever Entertainment,2021-09-03,"Storm Trident, Jujubee",Adventure
27,PGA TOUR 2K21,['PS4'],49.99,12.49,-75,FULL_GAME,2K Games,2020-08-21,HB Studios,"Sports, Golf"
28,City of Brass,['PS4'],15.99,3.19,-80,FULL_GAME,Uppercut Games,2018-05-04,Uppercut Games,Roguelite
29,Super Box Land Demake,['PS4'],3.99,0.79,-80,GAME_BUNDLE,Ratalaika Games,2019-10-08,lightUP,Puzzle
30,Sunless Skies: Sovereign Edition,['PS4'],18.99,11.39,-40,FULL_GAME,Failbetter Games,2021-05-19,Failbetter Games,"Roguelite, Role Playing, Management"
31,Ether One,['PS4'],14.99,10.49,-30,FULL_GAME,"White Paper Games, SOEDESCO",2015-05-05,White Paper Games,Action-Adventure
32,Mutant Year Zero: Road to Eden,['PS4'],28.99,11.59,-60,FULL_GAME,Funcom,2018-12-04,The Bearded Ladies,"Stealth, Strategy, Turn Based"
33,Football Game,['PS4'],3.99,1.39,-65,GAME_BUNDLE,Ratalaika Games,2019-11-05,Cloak and Dagger Games,"Adventure, Point & Click"
34,Shoppe Keep,['PS4'],9.99,2.99,-70,FULL_GAME,Excalibur Games,2017-09-19,Strangefire Studios,Management
35,The Long Reach,['PS4'],12.99,2.59,-80,FULL_GAME,Merge Games,2018-03-13,Painted Black Games,"Adventure, Point & Click"
36,Stikbold! A Dodgeball Adventure,['PS4'],7.99,3.99,-50,FULL_GAME,Curve Games,2016-04-05,Game Swing,"Sports, Dodgeball, Party"
37,Transpose,['PS4'],14.99,3.74,-75,FULL_GAME,Secret Location,2018-11-06,Secret Location,Puzzle
38,Ritual: Crown of Horns,['PS4'],15.99,3.19,-80,FULL_GAME,Feardemic,2020-02-28,Draw Distance,Shoot 'em up
39,Bubble Shooter FX,['PS4'],3.99,1.59,-60,FULL_GAME,EntwicklerX,2021-09-24,EntwicklerX,Puzzle
40,Genetic Disaster,['PS4'],14.99,4.49,-70,FULL_GAME,Drageus Games,2020-05-29,Team8 Studio,"Shoot 'em up, Party"
41,Chickens On The Road,['PS4'],0.79,0.67,-15,FULL_GAME,RandomSpin Games,2020-12-01,RandomSpin Games,Action
42,Saboteur SiO,['PS4'],7.39,5.91,-20,FULL_GAME,SimFabric,2021-02-12,SimFabric,Platformer
43,Violetti Goottii,['PS4'],0.2,0.1,-50,FULL_GAME,The Voices Games,2021-05-31,The Voices Games,Platformer
44,Mafia: Definitive Edition,['PS4'],34.99,12.24,-65,FULL_GAME,2K Games,2020-09-24,Hangar 13,"Open World, Third Person Shooter"
45,Fury Unleashed,['PS4'],15.99,4.79,-70,FULL_GAME,Awesome Games Studio,2020-05-08,Awesome Games Studio,"Roguelite, Run & Gun"
705,Tangle Tower,['PS4'],13.99,6.99,-50,FULL_GAME,SFB Games,2021-10-06,SFB Games,Adventure
46,Rush VR,['PS4'],19.99,4.99,-75,FULL_GAME,Nextgen Reality,2018-12-04,The Binary Mill,"Simulation Racing, Aerial"
47,Tiny Hands Adventure,['PS4'],6.49,0.64,-90,FULL_GAME,Forever Entertainment,2021-03-05,Storm Trident,Platformer
48,Sparkle 2 EVO,['PS4'],3.99,0.39,-90,FULL_GAME,Forever Entertainment,2021-05-20,Forever Entertainment,Action
49,Medieval Defenders,['PS4'],5.79,2.31,-60,FULL_GAME,8Floor,2017-06-27,Creobit,Tower Defence
50,Urban Trial Tricky Deluxe Edition,['PS4'],15.99,11.19,-30,FULL_GAME,Tate Multimedia,2021-07-22,Tate Multimedia,"Automobile, Sports, Motocross"
51,Boxed In,['PS4'],4.99,3.49,-30,FULL_GAME,Red Chain Games,2021-05-27,Red Chain Games,Puzzle
52,Dawn of Fear,['PS4'],11.99,4.19,-65,FULL_GAME,Good Game Publishing,2020-02-03,Brok3nsite,Survival Horror
53,"I, Zombie",['PS4'],3.69,0.92,-75,FULL_GAME,Awesome Games Studio,2016-11-24,Awesome Games Studio,Strategy
54,Othercide,['PS4'],24.99,7.49,-70,GAME_BUNDLE,Focus Entertainment,2020-07-28,Lightbulb Crew,"Strategy, Turn Based"
55,Megaton Rainfall,['PS4'],12.99,4.8,-63,FULL_GAME,Pentadimensional Games,2017-10-17,Pentadimensional Games,"Open World, First Person Shooter"
56,Narcos: Rise of the Cartels,['PS4'],24.99,3.74,-85,FULL_GAME,Curve Games,2019-11-19,Kuju,"Strategy, Turn Based"
57,Goetia,['PS4'],7.99,0.79,-90,FULL_GAME,Forever Entertainment,2020-12-17,Sushee,"Adventure, Point & Click"
58,The Escapists 2,['PS4'],19.99,4.99,-75,FULL_GAME,Team17 Software,2017-08-22,Mouldy Toof Studios,"Simulation, Strategy"
59,Embr,['PS4'],15.99,6.39,-60,FULL_GAME,"Curve Games, H2 Interactive",2021-09-23,Muse Games,First Person Shooter
60,Fight of Gods,['PS4'],12.99,10.39,-20,FULL_GAME,Digital Crafter,2020-07-16,Digital Crafter,Fighting
61,Obliteracers,['PS4'],11.49,2.87,-75,FULL_GAME,Deck13 Interactive,2016-07-20,Space Dust Studios,"Automobile, Arcade Racing"
62,The Walker,['PS4'],15.99,7.99,-50,FULL_GAME,Winking Skywalker Entertainment,2018-07-03,Haymaker Studios,First Person Shooter
63,Fell Seal: Arbiter's Mark,['PS4'],19.99,5.99,-70,FULL_GAME,1C Entertainment,2019-04-30,6 Eyes Studio,"Role Playing, Strategy, Turn Based"
64,Hyper Sentinel,['PS4'],5.79,1.44,-75,FULL_GAME,Huey Games,2018-05-08,Four5Six Pixel,Shoot 'em up
65,Stranded Sails: Explorers of the Cursed Islands,['PS5'],19.99,7.99,-60,FULL_GAME,Merge Games,2019-10-17,Lemonbomb Entertainment,"Action-Adventure, Management"
66,Game Dev Story,['PS4'],9.99,4.99,-50,FULL_GAME,Kairosoft,2019-12-05,Kairosoft,Management
67,Gorogoa,['PS4'],11.99,3.59,-70,FULL_GAME,Annapurna Interactive,2018-05-22,Buried Signal,"Puzzle, Adventure"
68,Duck Souls+,['PS4'],3.99,1.39,-65,GAME_BUNDLE,Ratalaika Games,2020-03-24,Green Dinosaur Games,Platformer
